word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
oikhy,17598,32886,15288,f79r,f111r,M,T,B,B,B,S
cholchey,17641,34686,17045,f79r,f113r,M,T,B,B,B,S
qolar,17947,28228,10281,f79v,f104r,M,T,B,B,B,S
oroiiin,17976,19979,2003,f79v,f82v,M,M,B,B,B,B
ksheol,18020,23319,5299,f79v,f87v,M,O,B,A,B,H
okolo,18157,25578,7421,f80r,f99r,M,S,B,A,B,P
fshedy,18165,36669,18504,f80r,f115r,M,T,B,B,B,S
dalom,18273,36649,18376,f80r,f115r,M,T,B,B,B,S
oltain,18283,18887,604,f80r,f80v,M,M,B,B,B,B
korchy,18360,29717,11357,f80r,f106r,M,T,B,B,B,S
cseey,18374,27731,9357,f80r,f103v,M,T,B,B,B,S
rcheky,18412,20981,2569,f80r,f84r,M,M,B,B,B,B
lsheol,18422,34844,16422,f80r,f113r,M,T,B,B,B,S
shekaiin,18437,22290,3853,f80r,f86v6,M,N,B,B,B,T
totol,18461,37297,18836,f80r,f116r,M,T,B,B,B,S
lteey,18518,30642,12124,f80r,f107r,M,T,B,B,B,S
qotl,18540,33626,15086,f80r,f111v,M,T,B,B,B,S
pcheedy,18595,31986,13391,f80v,f108r,M,T,B,B,B,S
oithy,18628,27706,9078,f80v,f103v,M,T,B,B,B,S
dolshedy,18674,19776,1102,f80v,f82v,M,M,B,B,B,B
solcheol,18734,20152,1418,f80v,f83r,M,M,B,B,B,B
dkshey,18748,25352,6604,f80v,f95v1,M,Q,B,B,B,H
oltydy,18753,30235,11482,f80v,f106v,M,T,B,B,B,S
oltaiin,18823,21189,2366,f80v,f84v,M,M,B,B,B,B
okiin,18893,35345,16452,f80v,f113v,M,T,B,B,B,S
qcthy,18919,28443,9524,f80v,f104r,M,T,B,B,B,S
polchey,18973,33611,14638,f81r,f111v,M,T,B,B,B,S
lchees,18989,27973,8984,f81r,f103v,M,T,B,B,B,S
dshees,19018,28964,9946,f81r,f105r,M,T,B,B,B,S
polchdy,19067,33911,14844,f81r,f112r,M,T,B,B,B,S
lchl,19153,29252,10099,f81r,f105r,M,T,B,B,B,S
sheckhal,19244,20553,1309,f81v,f83v,M,M,B,B,B,B
dkain,19258,30545,11287,f81v,f106v,M,T,B,B,B,S
yar,19261,34146,14885,f81v,f112r,M,T,B,B,B,S
cseeky,19308,21023,1715,f81v,f84v,M,M,B,B,B,B
ltary,19322,27529,8207,f81v,f103r,M,T,B,B,B,S
qotedor,19515,28599,9084,f82r,f104v,M,T,B,B,B,S
rolchy,19538,30754,11216,f82r,f107r,M,T,B,B,B,S
deeedy,19542,29195,9653,f82r,f105r,M,T,B,B,B,S
polched,19574,36934,17360,f82r,f115v,M,T,B,B,B,S
qcthey,19618,31343,11725,f82r,f107v,M,T,B,B,B,S
lchedar,19649,36427,16778,f82r,f115r,M,T,B,B,B,S
lokam,19752,32620,12868,f82v,f111r,M,T,B,B,B,S
lchedam,19846,32390,12544,f82v,f108v,M,T,B,B,B,S
lchs,20052,32360,12308,f83r,f108v,M,T,B,B,B,S
chkeedy,20061,21056,995,f83r,f84v,M,M,B,B,B,B
qeeedy,20099,32198,12099,f83r,f108v,M,T,B,B,B,S
oqol,20101,20834,733,f83r,f84r,M,M,B,B,B,B
rchs,20122,23756,3634,f83r,f89r1,M,O,B,A,B,P
shechy,20193,32392,12199,f83r,f108v,M,T,B,B,B,S
pdal,20195,29201,9006,f83r,f105r,M,T,B,B,B,S
opshedy,20200,35343,15143,f83r,f113v,M,T,B,B,B,S
raly,20367,28054,7687,f83r,f103v,M,T,B,B,B,S
chepchedy,20388,32590,12202,f83v,f111r,M,T,B,B,B,S
qoeeo,20470,29700,9230,f83v,f105v,M,T,B,B,B,S
cheeaiin,20508,22137,1629,f83v,f86v6,M,N,B,B,B,T
sheeckhy,20554,32855,12301,f83v,f111r,M,T,B,B,B,S
opoly,20667,22156,1489,f84r,f86v6,M,N,B,B,B,T
opalkaiin,20826,30756,9930,f84r,f107r,M,T,B,B,B,S
olchcthy,20852,20987,135,f84r,f84r,M,M,B,B,B,B
alkedy,20897,31774,10877,f84r,f108r,M,T,B,B,B,S
dolor,21303,35663,14360,f84v,f114r,M,T,B,B,B,S
yoiin,21352,25877,4525,f85r1,f99v,N,S,B,A,T,P
okshd,21358,23905,2547,f85r1,f89r2,N,O,B,A,T,P
tarar,21363,34968,13605,f85r1,f113r,N,T,B,B,T,S
opchsd,21414,31772,10358,f85r1,f108r,N,T,B,B,T,S
cheolkeedy,21435,32476,11041,f85r1,f108v,N,T,B,B,T,S
pdar,21436,29048,7612,f85r1,f105r,N,T,B,B,T,S
shdair,21438,30433,8995,f85r1,f106v,N,T,B,B,T,S
qopcheedy,21439,28437,6998,f85r1,f104r,N,T,B,B,T,S
tdain,21448,23678,2230,f85r1,f89r1,N,O,B,A,T,P
shcphhy,21504,37714,16210,f85r1,f116r,N,T,B,B,T,S
checphey,21514,34422,12908,f85r1,f112v,N,T,B,B,T,S
qocphdy,21526,36023,14497,f85r1,f114v,N,T,B,B,T,S
