word,i,j,gap,page_i,page_j,quire_i,quire_j,lang_i,lang_j,section_i,section_j
<221>lor,19861,25776,5915,f82v,f95v2,M,Q,B,B,B,H
lpche<152>y,19951,22317,2366,f83r,f86v4,M,N,B,B,B,C
lchs,19961,33013,13052,f83r,f108v,M,T,B,B,B,S
qeeedy,20008,32848,12840,f83r,f108v,M,T,B,B,B,S
<221>tal,20054,38062,18008,f83r,f116r,M,T,B,B,B,S
qcphhedy,20069,36431,16362,f83r,f114r,M,T,B,B,B,S
shechy,20103,33043,12940,f83r,f108v,M,T,B,B,B,S
qote<152>aiin,20149,22370,2221,f83r,f86v4,M,N,B,B,B,C
techedy,20200,33680,13480,f83r,f111r,M,T,B,B,B,S
sheekchy,20211,28348,8137,f83r,f103v,M,T,B,B,B,S
raly,20280,28636,8356,f83r,f103v,M,T,B,B,B,S
rolkeedy,20365,32062,11697,f83v,f107v,M,T,B,B,B,S
sheeckhy,20471,33506,13035,f83v,f111r,M,T,B,B,B,S
qoke<152><222>,20660,32997,12337,f84r,f108v,M,T,B,B,B,S
opalkaiin,20745,31392,10647,f84r,f107r,M,T,B,B,B,S
ckhedy,20758,35007,14249,f84r,f112v,M,T,B,B,B,S
poiin,20968,25758,4790,f84v,f95r2,M,Q,B,B,B,H
oke<152>am,21045,32441,11396,f84v,f108r,M,T,B,B,B,S
shtal,21098,28605,7507,f84v,f103v,M,T,B,B,B,S
qolkee<152>y,21149,37738,16589,f84v,f115v,M,T,B,B,B,S
dolor,21236,21378,142,f84v,f85r1,M,N,B,B,B,T
okshd,21291,24415,3124,f85r1,f89r2,N,O,B,A,T,P
qo<176>e<152>y,21339,29470,8131,f85r1,f104v,N,T,B,B,T,S
shdair,21371,31067,9696,f85r1,f106v,N,T,B,B,T,S
t<152>ain,21381,24197,2816,f85r1,f89r1,N,O,B,A,T,P
qokeeodaiin,21416,36379,14963,f85r1,f114r,N,T,B,B,T,S
shcphhy,21438,38415,16977,f85r1,f116r,N,T,B,B,T,S
checphey,21448,35072,13624,f85r1,f112v,N,T,B,B,T,S
dairar,21462,29332,7870,f85r1,f104v,N,T,B,B,T,S
qofch<152>y,21515,30915,9400,f85r1,f106v,N,T,B,B,T,S
qotedaiin,21632,25770,4138,f85r2,f95v2,N,Q,B,B,C,H
qo<152>ar,21685,25032,3347,f85r2,f90v2,N,O,B,A,C,H
<221>dar,21776,38389,16613,fRos,f116r,N,T,B,B,C,S
lraiin,21803,30123,8320,fRos,f105v,N,T,B,B,C,S
ofain,21808,21878,70,fRos,fRos,N,N,B,B,C,C
orarol,21826,24746,2920,fRos,f89v1,N,O,B,A,C,P
daldal,21827,24248,2421,fRos,f89r1,N,O,B,A,C,P
o<152>al,21856,21984,128,fRos,fRos,N,N,B,B,C,C
to<152>ar,21903,25999,4096,fRos,f96r,N,Q,B,A,C,H
olaiiin,21923,33351,11428,fRos,f111r,N,T,B,B,C,S
yko<152>ar,21940,24935,2995,fRos,f90r1,N,O,B,A,C,H
okas,21945,37863,15918,fRos,f115v,N,T,B,B,C,S
qotady,22037,29150,7113,fRos,f104v,N,T,B,B,C,S
opchees,22054,37715,15661,fRos,f115v,N,T,B,B,C,S
ote<152>ain,22061,37700,15639,fRos,f115v,N,T,B,B,C,S
cheykar,22086,31135,9049,fRos,f106v,N,T,B,B,C,S
okchr,22089,22230,141,fRos,fRos,N,N,B,B,C,C
otl,22123,35780,13657,fRos,f113v,N,T,B,B,C,S
opchdar,22140,34867,12727,fRos,f112v,N,T,B,B,C,S
oto<152>ar,22159,23604,1445,fRos,f86v3,N,N,B,B,C,C
opchdain,22184,37456,15272,fRos,f115r,N,T,B,B,C,S
keee<152>y,22193,28882,6689,fRos,f104r,N,T,B,B,C,S
opchody,22263,25313,3050,fRos,f93v,N,Q,B,A,C,H
chdair,22327,36368,14041,f86v4,f114r,N,T,B,B,C,S
she<152>,22336,33960,11624,f86v4,f111v,N,T,B,B,C,S
oteedar,22365,37996,15631,f86v4,f116r,N,T,B,B,C,S
oedy,22453,32589,10136,f86v4,f108r,N,T,B,B,C,S
lcheody,22481,28342,5861,f86v4,f103v,N,T,B,B,C,S
